hz,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,Marker
0,-8.441596022073692e-05,-0.0009510627098072696,-0.0020986144411130523,-0.0005316881034969938,-0.003778838509354893,-0.002988964051184461,-0.0002451200930897112,-0.0021241668332934024,-0.0035425161666468767,-0.0029488847134483956,-0.0020686024389151895,-0.0028934334639154776,-0.002337030553553555,-0.0016977981885148558,-0.0003204742865192669,REST
1,0.0016313606700234786,-0.0006800479880932973,-0.001225974823604516,0.00012440624482361925,-0.0038974728307122415,-0.0024588010253260755,1.5094583034391709e-05,-0.0021690108316025124,-0.003512030699030828,-0.003161194946437478,-0.0006689638706526644,-0.0021044223466812617,-0.0012916230093037084,-0.0008155895526453735,-0.0005556137776953326,REST
2,0.001625001968125279,-0.0007010908794767557,-0.0012482920676207955,0.0001259505888751186,-0.0039628731434394,-0.0024719278103723847,1.991664743681372e-05,-0.002212666805853157,-0.0035434563229902534,-0.003222272788356532,-0.0006944234960629785,-0.0021285993649391615,-0.001321677102949306,-0.0008406182906421703,-0.0005648305682178726,REST
3,0.0016176247796995322,-0.0007219764527115559,-0.0012705115487384932,0.00012660953179043772,-0.004027408476700986,-0.0024844047480865436,2.429658111617475e-05,-0.002255906748478089,-0.003574232643411702,-0.0032828842946251843,-0.000720079522652337,-0.002152494387269222,-0.001351683337535669,-0.0008655907856530583,-0.0005736211213548027,REST
4,0.0016092353331937051,-0.0007426932613443532,-0.0012926160273384656,0.000126391427644925,-0.004091041794172119,-0.0024962278285803616,2.821388581071343e-05,-0.002298704666746939,-0.0036043459750087123,-0.003343002205064665,-0.0007459008955071941,-0.002176086042887895,-0.0013816189637743967,-0.0008904822258834628,-0.000581997474017141,REST
5,0.0015998400615707478,-0.0007632299981026891,-0.0013145887269008147,0.00012530594707099827,-0.004153736579021177,-0.002507393463123419,3.1650056911178824e-05,-0.0023410347654162504,-0.003633783196139498,-0.003402599337679775,-0.0007718572059304627,-0.0021993536353018045,-0.0014114617273903274,-0.0009152681922842414,-0.0005899716503703115,REST
6,0.0015894456112038272,-0.000783575510696653,-0.0013364133412769959,0.00012336405300194023,-0.004215456875837726,-0.002517898483781155,3.4588538259810314e-05,-0.0023828714766257687,-0.003662531751341654,-0.0034616486209307776,-0.0007979187046437733,-0.002222277150908272,-0.0014411898828730822,-0.0009399246820991528,-0.0005975556643136274,REST
7,0.0015780588506295959,-0.0008037188174363454,-0.0013580740415051655,0.00012057796990546103,-0.004276167332056738,-0.002527740142785127,3.701467644570092e-05,-0.0024241894896318943,-0.003690579653421725,-0.0035201231259865337,-0.0008240563142471427,-0.002244837266953526,-0.001470782206718015,-0.0009644281319797644,-0.0006047615219108688,REST
8,0.0015656868791485402,-0.0008236491226460771,-0.001379555482162306,0.00011696114779967284,-0.004335833238832736,-0.0025369161116366792,3.89156746491801e-05,-0.0024649637803450023,-0.0037179154851009278,-0.0035779960989239584,-0.0008502416409226264,-0.002267015358839621,-0.0015002180101416323,-0.0009887554406377381,-0.0006116012237683233,REST
9,0.0015523370352610588,-0.0008433558318564388,-0.0014008428072471498,0.00011252822275872171,-0.004394420571317852,-0.002545424479945519,4.028054608742513e-05,-0.002505169640637482,-0.0037445284002190927,-0.0036352409928388633,-0.000876446985369501,-0.002288793506771884,-0.0015294771512570722,-0.0010128839910050005,-0.0006180867673566765,REST
10,0.001538016904928032,-0.0008628285667556904,-0.0014219216555884375,0.00010729497543003304,-0.0044518960282985765,-0.0025532637540048434,4.110006711172381e-05,-0.0025447827073895837,-0.003770408124498988,-0.00369183149983325,-0.0009026453529594116,-0.002310154501739288,-0.001558540046695835,-0.0010367916718728633,-0.0006242301492733651,REST
11,0.0015227343296448145,-0.000882057179882216,-0.0014427781657735316,0.0001012782886757039,-0.0045082270711466095,-0.0025604328551049335,4.1366730004971874e-05,-0.002583778991240381,-0.0037955449558736572,-0.003747741582844292,-0.0009288104631008771,-0.0023310818508209094,-0.0015873876826625647,-0.0010604568989817467,-0.0006300433674420575,REST
12,0.0015064974143176994,-0.0009010317690401073,-0.0014633989805929134,9.44961050327824e-05,-0.00456338196203992,-0.0025669311175872045,4.1074695526292695e-05,-0.0026221349050114737,-0.0038199297643798226,-0.003802945507280279,-0.0009549167578034156,-0.002351559781812335,-0.0016160016254103075,-0.0010838586355338675,-0.000635538423246103,REST
13,0.0014893145349321086,-0.0009197426914203007,-0.0014837712509966302,8.6967384358266e-05,-0.004617329801410986,-0.002572758286641069,4.0219745248532566e-05,-0.002659827291771358,-0.003843553991620618,-0.0038574178724290063,-0.0009809394094325988,-0.002371573247166547,-0.001644364031124319,-0.0011069764121018801,-0.0006407273235929457,REST
14,0.0014711943460019165,-0.0009381805774100514,-0.001503882639559246,7.87120618079484e-05,-0.004670040564580011,-0.002577914515845949,3.87992337335907e-05,-0.0026968334525087757,-0.003866409649801436,-0.003911133642604309,-0.001006854327648279,-0.0023911079272445853,-0.0016724576552031242,-0.0011297903459071782,-0.0006456220829065557,REST
15,0.0014521457877895402,-0.0009563363440739429,-0.0015237213234503863,6.975100617930506e-05,-0.004721485137531744,-0.0025824003644611526,3.681204059003155e-05,-0.002733131173383743,-0.0038884893203428874,-0.003964068177996627,-0.0010326381655191455,-0.0024101502328719845,-0.0017002658609262208,-0.0011522811594423732,-0.0006502347250452212,REST
16,0.0014321780932865943,-0.0009742012082900216,-0.0015432759969084913,6.0105978599344755e-05,-0.004771635351795619,-0.0025862167944663713,3.425852245708954e-05,-0.0027686987525254183,-0.0039097861520752605,-0.00401619726519389,-0.0010582683248078506,-0.0024286873071977092,-0.0017277726274985052,-0.0011744301984132062,-0.0006545772851420528,REST
17,0.0014113007949452016,-0.000991766699525097,-0.0015625358732159027,4.979959153103119e-05,-0.004820464018389724,-0.002589365167355865,3.114046495882852e-05,-0.0028035150263464176,-0.003930293859019195,-0.004067497147339171,-0.001083722960421823,-0.0024467070268530617,-0.0017549625574621557,-0.0011962194489759594,-0.0006586618113657997,REST
18,0.0013895237311502037,-0.0010090246722337022,-0.001581490686173957,3.885526808476074e-05,-0.004867944960790355,-0.0025918472406894055,2.7461034671883854e-05,-0.0028375593953437342,-0.003950006717757611,-0.004117944553892089,-0.0011089809840259934,-0.002464198002408773,-0.001781820883467462,-0.0012176315542473403,-0.0006625003665996844,REST
19,0.0013668570524228464,-0.0010259673178656878,-0.00160013069107728,2.7297201640114023e-05,-0.004914053046889852,-0.002593665164403424,2.3224731149828906e-05,-0.0028708118493569463,-0.0039689195644042365,-0.004167516729961272,-0.0011340220668145553,-0.0024811495781292027,-0.001808333474394772,-0.0012386498300646256,-0.0006661050300361728,REST
20,0.0013433112273467111,-0.0010425871764679058,-0.0016184466651869857,1.5150315799366599e-05,-0.0049587642199065965,-0.0025948214768858435,1.8437339046797094e-05,-0.0029032529922549868,-0.0039870277911744165,-0.004216191465175594,-0.0011588266414399274,-0.002497551831023351,-0.0018344868408204386,-0.001259258279974841,-0.0006694878986857048,REST
21,0.00131889704820698,-0.0010588771478659796,-0.0016364299077030462,2.4402247038705655e-06,-0.005002055528212265,-0.002595319100818248,1.3105880382574965e-05,-0.0029348640660233783,-0.004004327342564061,-0.004263947122062454,-0.0011833759030980872,-0.0025133955691931057,-0.0018602681398204538,-0.001279441609432587,-0.0006726610887975966,REST
22,0.001293625636334394,-0.0010748305024126418,-0.0016540722392366,-1.0806806254461121e-05,-0.005043905154042555,-0.0025951613387893125,7.238566991203948e-06,-0.002965626974224473,-0.0040208147111431254,-0.004310762663901905,-0.0012076518097704342,-0.0025286723294798913,-0.0018856651791060923,-0.0012991852391872087,-0.0006756367371915364,REST
23,0.0012675084471455576,-0.001090440891289736,-0.0016713660007835012,-2.45638993024305e-05,-0.005084292441058962,-0.002594351868683443,8.447531951100758e-07,-0.0029955243048039467,-0.004036486932970005,-0.004356617682025855,-0.0012316370816233702,-0.002543374374411652,-0.0019106664204867343,-0.0013184753178409152,-0.0006784270024981851,REST
